v	v.1	v.2	v.3	v.4	v.5	v.6	v.7	v.8	v.9	v.10	v.11	v.12	v.13	v.14	v.15	v.16	v.17	v.18	v.19	v.20	v.21	v.22	v.23	v.24	v.25	v.26	v.27	v.28	v.29	v.30	v.31	v.32	v.33	v.34	v.35	v.36	v.37	v.38	v.39	v.40	v.41	v.42	v.43	v.44	v.45	v.46	v.47	v.48	v.49	v.50	v.51	v.52	v.53	v.54	v.55	v.56	v.57	v.58	v.59	v.60	v.61	v.62	v.63	v.64	v.65	v.66	v.67	v.68	v.69	v.70	v.71	v.72	v.73	v.74	v.75	v.76	v.77	v.78	v.79	v.80	v.81	v.82	v.83	v.84	v.85	v.86	v.87	v.88	v.89	v.90	v.91	v.92	v.93	v.94	v.95	v.96	v.97	v.98	v.99	v.100	v.101	v.102	v.103	v.104	v.105	v.106	v.107	v.108	v.109	v.110	v.111	v.112	v.113	v.114	v.115	v.116	v.117	v.118	v.119	v.120	v.121	v.122	v.123	v.124	v.125	v.126	v.127	v.128	v.129	v.130	v.131	v.132	v.133	v.134	v.135	v.136	v.137	v.138	v.139	v.140	v.141	v.142	v.143	v.144	v.145	v.146	v.147	v.148	v.149	v.150	v.151	v.152	v.153	v.154	v.155	v.156	v.157	v.158	v.159	v.160	v.161	v.162	v.163	v.164	v.165	v.166	v.167	v.168	v.169	v.170	v.171	v.172	v.173	v.174	v.175	v.176	v.177	v.178	v.179	v.180	v.181	v.182	v.183	v.184	v.185	v.186	v.187	v.188	v.189	v.190	v.191	v.192	v.193	v.194	v.195	v.196	v.197	v.198	v.199	v.200	v.201	v.202	v.203	v.204	v.205	v.206	v.207	v.208	v.209	v.210	v.211	v.212	v.213	v.214	v.215	v.216	v.217	v.218	v.219	v.220	v.221	v.222	v.223	v.224	v.225	v.226	v.227	v.228	v.229	v.230	v.231	v.232	v.233	v.234	v.235	v.236	v.237	v.238	v.239	v.240	v.241	v.242	v.243	v.244	v.245	v.246	v.247	v.248	v.249	v.250	v.251	v.252	v.253	v.254	v.255	v.256	v.257	v.258	v.259	v.260	v.261	v.262	v.263	v.264	v.265	v.266	v.267	v.268	v.269	v.270	v.271	v.272	v.273	v.274	v.275	v.276	v.277	v.278	v.279	v.280	v.281	v.282	v.283	v.284	v.285	v.286	v.287	v.288	v.289	v.290	v.291	v.292	v.293	v.294	v.295	v.296	v.297	v.298	v.299	v.300	v.301	v.302	v.303	v.304	v.305	v.306	v.307	v.308	v.309	v.310	v.311	v.312	v.313	v.314	v.315	v.316	v.317	v.318	v.319	v.320	v.321	v.322	v.323	v.324	v.325	v.326	v.327	v.328	v.329	v.330	v.331	v.332	v.333	v.334	v.335	v.336	v.337	v.338	v.339	v.340	v.341	v.342	v.343	v.344	v.345	v.346	v.347	v.348
16207	9827	11319	10181	7531	8953	17038	15677	13663	8868	16625	9606	17054	11512	12430	9152	11428	12056	9887	13602	16796	5287	19927	13275	16176	13660	9577	16285	10693	9903	15385	9849	11471	5525	11599	11217	14474	8483	7290	11817	11400	7579	18395	13832	7967	10957	7199	14756	8860	12003	12525	11436	7178	6664	14430	13768	13203.5	10490.5	5316	17607	10733	11932	15444	8941	11233	14975	5907	16558.5	10376	9446	16563	8259	9046	2460	20368	11334	5186.5	20042	14528	10657	7681	8731.5	8297	13573	13529	8804	10203.5	9278.5	9411	12123	7699	10817	15526	9579	14188	10783	15122	18145	13558	13244	12165	11796	12879.5	15805	8090	10361.5	5992	9577	7122	9477	16296	13501.5	20265	12908	12324	15950	18288.5	9865	16282	18270	16527.5	11553	15970	18002.5	7521.5	13372.5	9917	12350	9107	15846	14067.5	7837	18337	12513	15256	10633	10358	13771	10427	9553	13067.5	7206	9468	18864	10757	9891	24304	9276	12288.5	13517	17291	13948	8863	13589	10718.5	12352	17138	7526	8946	8499	11623	7598	13518	10762	10268	6036	9404	9070	6749	7619	7638	14352	9608.5	10681	14280	16457	11586	13952	6565	7084	9692	23049	9035	10539	8759	6831	12719	10680	14206	4690	19584	12936.5	7681	8305	14452	9776	9602.5	9343	10203.5	7393	11396	10132	8897	14210	7649	11433	9388	11421	15526	10172	9043	10572	9659	7660	18887	14910	4921	10291	17457	17134	8460	8372	18615	10909	16298	5533	16217	20994	14258	10416	12598	11953	15753	11034	10545	11063	14122	6644	13534	11776	21088	11347	8206	10157	10572	7899	10946	7317	13780	16150	13765	7428	12248	17690	12609	13146	10613	12154	9868	6819	16604	16856	14059	10853	6493	23373	13384	9255	17514	12824	9844	11106	11963	14989	9409	8518	12218	15412	13142	8913	7181	13267	6903	13403	13606	15692	9395	9364	17122	17412	15007	15895	7642	11881	8726	6252	6639	7607	9698	10174	10456	6358	8982	11989	11436	14815	11723	12365	6830	4555	8137	12031	13900	12969	10327	8828	12674	17080	6593	9284	18862	7774	8592	21530	17931	15260	11198	16247	13825	7235	9404	11493	11261	8350	11515	9192	20895	9454	11897	9971	5206	18603	12953	4630	8285	8814	17436	12347	14366
21209	12142	13943	14751	8874	10024	22265	20487	20997	10965	20357	14755	21471	15152	15423	12869	13327	14600	11454	17226	21067	7926	25582	17435	21683	15736	13150	22073	13984	14519	17968	13737	12927	7546	13726	13917	18796	11220	8517	14062	14833	8190	25587	17487	8058	12420	8277	18289	12500	15955	13979	15326	8873	8236	19797	14708	17523	13649	7119	23463	13269	18105	19030	12566	14933.5	18612	8329	20262	11991	10737	21094.5	9270	12457	4435	24735	15451.5	6806	26564	17478	14311	9853	10463.5	11116	18805	18947	9657	12696	11185.5	11249	16487.5	9786	13286	20458	12843	20218	14653	18652	21066	15725	17113	14776	14361	16712	19928	11496.5	14056.5	8643	11587	9209	13347	20088	17492.5	25761	17510	14819	18549	22302	14235	19227.5	26252	19944.5	15146	22063	21957	9371	17550	13390	15381	11658	21508	18212.5	10064	22646	17058.5	19089	12851	13365	18231	12082	12319	16593.5	9576	13000	25161	12232	13078	29601	5744	16679	17528	22299	16559.5	11037	15539	14353	13714	21148	8961	12416	10990	15843	10995	16357	14187	13461	6832	12504	11557	8695	9331.5	9920	18239	12052	14215	16993	21747	14866	15665	8305.5	8413	14763	30291	11052	13348	10866	9406	17422	13783	17320	5494	23546	17316.5	9899	9286	17701	14197	11819	11887	12844	9154	13631	12364	12100	16267	10977	14538	12275	13199	19831	12968	13982	14233	13834	8787	23983	15998	9061	13513	21879	22528	10587	10224	22757	14882	20069	7782	19757	27039	18088	13893	15615	15496	20258	15004	13892	14193	17694	8357	15392	15263	29013	15181	10844	13211	13743	10817	12718	9274	17621	20746	16206	10552	15336	21813	16769	16283	15126	15202	12809	8958	21230	20869	15776	12365	7369	30714	17150	11142	23187	14946	12917	12798	14358	19365	11883	12192	16001	18898	16938	11398	10259	17016	7846	16642	16948	19450	13738	11307	23711	24041	18433	18564	10510	15785	12469	8054	8705	9849	12739	12789	13944	8315	12966	14252	15233	19119	14944	15895	8777	5704	10346	14181	17631	16742	12305	11996	17250	20177	8213	12234	23535	9079	10962	26213	23690	19299	14103	19238	17091	9970	11056	13734	14165	10378	15018	12477	28460	11503	13429	13584	5913	22376	20311	6291	9660	12134	22841	15679	15810
27398	15056	17655	16449	11117	11963	30566	27962	24071	13074	25615	17958	25142	19026	20099	16063	15339	18355	14537	18428	28594	10665	28697	18522	27933	19520	16797	26854	18498	18730	19914	16767	15390	10441	15828	20095	24274	14409	10426	19347	17733	10623	30573	19491	9725	14266	9711	21802	15512	16662	16974	19105	9796	10368	23985	19989	23502.5	16814	8154	31012	15037	24361	25644	16592	20189	21732	10326	24312.5	15787	13406	26008	11238	13481	4710	32229	17974	9262	32395	20292	16919	10919	13205	14194.5	24103	23044	11284	16716.5	13196.5	14177	21489.5	12640	15724	23808	17546	23210	18954	22325	26288	20230	20689	18656	18510	19329	21162	13296.5	17514	10914	13601	10584	17517	29384	22487	30195	20708	14697	22448	27834.5	17398	24025.5	31277	25952.5	18816.5	27730.5	26257.5	12474.5	20906.5	15260	20341	14178	24942	22433	13054	30187	19772	23228	14859.5	16438	21044	14974	14313	21020	11314	17924	36418	15454	15905	37132	6061	20322.5	23604	26904	22129.5	14567	21688	16882.5	15097	24581	12016	15556	13811	19487	14713	18819	19020	19169	7943	15412	15325	12331	11756.5	11654	24643	13906.5	18223	21984	23821	20030	19105	10956	10226	17634	35582	14687	16620	13072	12266	21165	16421	21886	5899	30162	20898	11277	11474	19660	16535	13920	13769	16302.5	11440	17993	15407	15246	20655	12133	18670	16949	15540	25947	15118	17680	17469	18459	10736	32886	19863	11754	17683	24441	28489	12825	11724	30062	19447	24117	9275	26959	31640	22560	19960	20361	19295	24508	18757	18411	16627	22546	11795	18912	20528	32149	18339	15769	16479	19789	14192	15501	11449	22375	27472	22274	12727	20058	26730	22950	18756	18982	20339	16630	11536	26822	25729	21212	16223	9635	40559	19523	14124	28324	18208	16200	15135	17520	25424	14583	14767	19264	22903	21541	14383	13374	24541	10665	22270	19294	24536	15863	15062	30640	30992	25156	20677	11774	17178	14488	8929	9985	12782	16902	14913	16852	10609	16351	19597	17744	21900	21106	20374	11477	7451	11517	16611	22033	20584	16293	14978	20241	23399	9534	15614	27665	12262	15228	33221	28820	23848	17905	23915	20970	13200	13840	17192	16939	14960	20032	15356	31835	13924	17982	17343	7200	28742	20305	8722	11534	15873	30568	18174	18732
32449	16486	21107	21895	14197	16179	37373	36184	32469	16712	32753	23190	32658	25897	26826	19780	23118	24605	19075	22524	35606	13500	33684	22192	35117	27488	21041	33656	24077	22379	23313	22268	20922	12086	22162	25441	29721	18374	12550	28011	21882	15307	37122	23383	13772	18381	11702	28963	19673	21331	23592	26223	12514	11945	33791	26661	27059	20323.5	11756	38593	18184	30499	32804	20261	26975.5	29496	11905	31558.5	20434	18167	33243	14127	18673	5868	39237	22522.5	11063.5	39289	25321	22495	12851	15686.5	18778	28362	29227	15554	20743	17155.5	18753	26809.5	17991	21380	31658	22076	29556	23097	30698	35383	24766	27234	24124	25037.5	22775	26531	15520.5	21820	13750	18692	13023	21026	37942	29094.5	38968	26853	21037	27922	34134.5	21319	32256	39992	32330.5	21784	35080	35252	16483	27196.5	19309	26061	18232	33711	27978.5	17671	41735	24056	32397	18166.5	21942	29116	20460	19075	26413.5	14552	21230	43727	20345	19668	47196	7352	24307	28661	36713	27137	18310	26916	21801	17438	29641	15629	19908	16797	22650	17717	23930.5	22640	26142	10657	16812	19260	14753	14731	15139	30388	16898.5	24463	28198	34327	25147	25146	14829	14140	19015	47603	20961	18822	18025	15019	27217	20452	29098	6422	39381	27704	14143	15792	25900	21259	17761.5	17645	20826.5	14257	22764	20587	19420	27624	16690	21745	20093	18667	33663	19916	22593	22558	22178	13711	42648	25413	13780	21697	30599	34796	15852	15984	34719	22569	30743	11339	33484	38825	28753	25113	27659	21793	31923	24625	24092	21197	29399	14256	23378	24478	40749	23831	19617	21648	23566	17072	20361	14171	25138	39265	30046	15964	25017	33029	30656	23884	23359	25738	20107	12727	32565	33979	27197	20237	13824	51493	22865	19850	35793	26699	20563	19096	26370	31178	20351	19224	26198	27634	30012	18601	16339	33618	14604	27110	26143	30171	19026	19909	37358	39107	32721	26654	15611	24699	19227	12237	11570	14871	22146	16626	22895	12826	18934	24347	20778	27827	25893	25469	15790	10833	13985	21958	27979	24616	23715	18558	26266	32756	12956	18338	38369	16577	19461	42430	38079	31417	24622	32292	27677	16120	19337	24516	20380	18618	25861	19486	40315	18316	24225	21787	8714	37886	22563	11089	13503	19505	37198	24576	25908
35181	18224	24968	25261	15562	19933	45334	40801	37792	20923	39348	28275	39819	31991	30709	27163	28918	30503	23556	27432	41773	17336	43723	27695	41648	33955	26259	46325	29383	27298	26315	26152	25171	16362	26270	31781	36840	22227	15360	32580	30529	19047	46698	31542	16060	22757	14639	31658	23464	26478	24946	32091	15070	13592	41025	31781	31551.5	24731	14520	42173	22768	37029	37740	23281	31399.5	33667	15482	38818.5	26312	22249	39379	15954	23685	8160	45432	26612	13246	46468	29254	26373	17702	17004.5	22027.5	36157	38600	20266	26317	21228.5	26585	33472	21947	25726	38811	27652	39176	30355	36550	39027	30213	33505	28962	29395.5	27681.5	34189	20295	27707	16455	21420	16868	25714	46110	36571.5	47228	35586	28789	33560	40711	30062	38756	52337	37987.5	26244	42486	44771	19703.5	34955	27570	32263	22380	42940	35936.5	21253	47825	30947.5	37900	23145	24548	35978	27312	21753	32087	17004	29199	52176	26461	26978	55743	9124	29987.5	37431	41736	32658.5	21211	27552	29295.5	24173	35287	20313	24155	20833	32140	23043	30533	27057	29198	13873	23805	23166	17406	17508.5	20293	39228	20508.5	29459	31737	42384	28785	31709	17246.5	17561	21630	56303	24155	23210	23507	19261	34047	27027	35349	7138	44311	32318.5	17984	18328	31750	26857	22787	21354	24745	18872	27689	25561	22627	32445	22651	27218	23142	22120	41111	24915	28279	28486	27705	15775	53141	33324	17245	25971	35815	40804	18061	21911	44115	29930	40069	15611	38150	47713	35433	30423	30510	27581	40330	26966	28412	27702	35336	19195	30852	29672	49406	29796	18898	26999	31595	21386	23779	19034	30147	44125	36031	21228	31622	36495	35489	28463	27322	32089	24633	14772	42316	39638	31918	24526	17143	61893	28933	23086	44779	30022	24463	22834	30276	40301	25953	24844	31176	37535	31916	22337	20745	38627	17740	33305	34696	34690	22568	22596	46895	49112	37752	35098	20687	30333	24019	16903	13570	17735	26669	19257	29320	15610	24288	28238	26399	33251	30594	32530	18716	12646	16747	23837	33296	31901	27431	25692	31175	40470	15002	19827	48414	20285	23341	52212	44959	38196	30545	35106	35579	17533	24615	27125	23215	21820	31879	23638	48455	24961	26436	28052	11394	43707	30847	12942	14691	24325	44601	28497	29140
43677	21044	32487	30930	17989	24091	62120	52238	43873	24682	48964	35754	48116	39183	37151	34511	35196	37014	27446	34390	51824	20928	59668	32037	51893	42775	33845	56148	36997	37083	32378	32913	29800	22467	30712	41824	46652	28099	19608	40003	38388	20248	59906	35483	18591	25917	17586	35678	29451	32587	30372	36593	18767	17690	48324	38010	40970.5	30519	17996	54485	28898	45649	43390	30630	39062	39412	19851	46643.5	32306	25915	47095.5	18270	27129	12678	53038	31967.5	16960	58526	33058	30525	19853	21894	28109	44766	44630	22280	31840.5	25739	28705	40619	24884	31889	47758	36493	46970	38554	42750	48473	38478	40713	36848	33943.5	32936	40159	24473.5	32009.5	20851	23922	18627	30717	52252	45007.5	57658	43839	32552	44338	50046.5	37432	44400	63952	46670	30745.5	52213.5	55823.5	23267.5	43366.5	35245	42668	27591	52242	44785	24481	56352	39043.5	44351.5	27924	33109	41417	31965	25428	40444	19923	36415	65977	29670	34163	62098	9949	36425	47603	52429	37294.5	26771	33556	37446	26176	38901	27211	29854	26754	38433	28163	35405	33769	32129	17100	28155	30039	22187	22586	24362	50868	25460	35946	37807	49847	35019	38203	19734.5	20145	23593	67453	27440	27763	28108	25464	41277	33588	42864	8030	52518	36856	23017	22985	35756	35572	24580	28127	29088	22454	36699	33100	28541	39293	29223	35539	31148	28200	48394	27795	34885	32393	36943	17920	63359	42449	25923	33354	45391	50632	22188	25381	49959	40009	48962	18954	45617	58882	42686	40690	36381	35129	49316	33728	38712	35078	43738	27041	36991	39268	61331	37405	22746	33520	42045	28159	27912	21930	36978	51702	45061	27453	37799	45369	43389	32349	34214	42166	30163	21632	56715	48796	37024	31276	19466	80645	35263	27181	49864	34487	27566	26883	36056	50887	28674	29674	37561	42934	40931	27380	27536	46685	21092	38320	42281	41677	31107	25787	57759	61319	47568	41702	25253	34058	30488	17827	16097	23677	32944	24600	35952	20621	31387	36085	31463	40189	37001	42123	22578	14007	19892	29602	41493	36270	31822	30443	38880	48794	17649	23124	54567	27462	29206	60128	52248	41301	37075	40227	43405	20522	28986	32936	28252	27871	39430	30046	56207	30499	30025	33560	15408	54332	37425	16413	18965	31370	55656	32075	33122
52223	26988	40737	38019	22948	29804	70520	65586	48738	31587	61800	41114	55130	46915	44845	42008	39809	48384	32303	35297	64261	26841	67581	35243	59925	53941	40605	60614	43535	45582	37201	41170	34170	26635	38721	51632	54507	34791	24296	48112	46562	25973	67022	40655	27756	30839	22827	43944	35849	38783	36279	45026	21508	19714	61887	45026	48600.5	37213.5	23336	65561	33993	51322	56352	38229	46749.5	45823	23975	57781.5	38765	31682	57800.5	22662	33997	15250	68067	35014	19441.5	67712	39767	35256	23135	28461.5	33863.5	57352	52249	25314	37975.5	32693	33635	48422.5	30803	42204	61825	45114	56226	47320	52923	53666	46776	54414	47953	44691	41855	46724	30114.5	39098	24405	27868	26707	40988	61194	55829	65287	47920	35594	54948	60106	44710	50244	72113	57774.5	37500.5	66080	68526.5	28115	50883	39968	54444	34185	64054	49500.5	31060	71602	44821.5	51566	32780.5	36150	46859	35145	29568	51499	23621	43745	78423	39404	41824	73539	10948	42232	58459	63745	44161.5	32285	49552	43956.5	32456	49582	33943	37282	29678	45915	34303	39453	45585	38137	22676	35768	35984	26318	26247	29125	61473	29206	44630	47576	56230	45978	46062	25777.5	24572	27745	80312	36666	33778	34787	30764	51972	39539	54073	9779	62947	42724.5	27753	28262	42389	41594	28008	30650	33756.5	23950	43680	39916	35583	50320	32358	44011	37315	36209	58346	36188	38855	41703	42522	24373	78269	54308	29730	44145	46503	63144	26595	31907	59644	47286	61563	21679	59544	67539	58170	48371	44535	37472	60873	41842	49032	42925	54992	32554	44729	47010	73180	42322	25792	44382	49993	32393	35875	26198	38182	68376	54500	36403	48650	58766	55139	35896	38545	49876	39013	25490	67531	58654	46230	36311	23704	97798	43394	31490	55924	39026	32956	30739	44261	62754	34512	36915	48384	50371	53926	35457	29715	57569	26902	41881	45979	48728	34215	33317	66863	71747	61672	49454	29321	47709	38015	20028	17584	32534	40677	30093	44500	24055	40171	45067	36807	47904	48554	51845	29272	15478	21494	37066	49928	42223	36565	35205	48237	52726	22556	28958	62668	33915	35354	71755	59714	51077	42924	48690	55240	25353	34559	39214	38011	33072	52404	36249	64663	35917	38655	41449	20015	67476	45594	20541	23462	37360	64863	36285	39632
57125	30501	50031	48342	27077	40062	82242	80490	56444	37369	75578	47480	58466	54251	54010	54826	48506	59099	40155	40269	75817	34102	81147	40667	70556	63154	47496	76334	56195	49688	41678	48342	41848	32090	48281	64898	64139	42380	29728	59273	61296	32735	77264	46047	34378	36920	30900	52630	43712	47311	48326	57828	26292	23127	79142	56981	57004	45356.5	30103	76113	37099	58938	65775	42112	55089.5	56207	27790	69678	51644	39876	66376.5	28260	41837	15682	78655	41355	22467.5	76141	48535	43906	27898	33077.5	40374	69105	64138	31052	44380	38621	43824	59632	37875	53140	74943	51685	70423	54276	60897	62176	56066	66735	56240	50916	50185	53990	36690	46490	27859	32475	31379	48937	76001	67342.5	72241	55592	42365	65390	69474	56479	58112.5	86544	67928.5	45624	79851.5	80051	34357.5	58394.5	45460	65216	39541	75198	54201	38033	87353	55838.5	59897.5	41555	44354	56011	42004	36311	58287.5	29320	54824	91099	54282	52225	90590	11555	48327	72237	79050	51765.5	40574	58539	49812	37445	52861	41637	47652	33557	58895	40012	44917.5	52451	45502	28620	44570	42052	32326	31521.5	35911	68614	34164	58063	56883	64858	55202	59429	30905.5	30762	33999	89472	48536	37523	45137	36273	64466	51562	62413	10364	74818	53551.5	32488	32190	52621	48978	32102	38209	41190.5	27607	50721	50299	42932	61508	40212	53817	44114	44334	68164	48330	46853	51500	51517	31143	92405	65396	34070	50623	57128	76704	33499	40289	67400	54219	74777	27365	68239	79738	67152	53248	60596	47648	78002	52745	57213	55604	64750	36036	53773	55881	83544	51731	32398	55749	58039	39517	42412	34066	45651	89032	68409	45293	58748	66375	63812	38960	45045	64568	46707	30600	76496	66710	51389	43011	28671	106842	51099	37454	61110	47186	40043	35234	54644	73067	45678	45889	58585	62449	66379	42038	36460	71500	32987	50655	56968	54227	37736	40139	75118	88340	71215	65817	36366	59765	42784	24775	22668	39259	52672	35804	54357	28530	47262	52082	40883	57756	56410	63500	35267	18829	24379	44136	58856	49698	47089	40421	57063	64877	27571	33370	75537	42668	41715	86795	75341	62250	56012	59369	67662	31095	46276	47106	43926	37380	60745	44658	76031	43461	45651	54468	26985	83401	47858	24008	26465	46280	79512	43080	50923
67162	33863	59948	61542	30068	51278	96468	97976	65313	47641	91375	57852	77207	66958	64131	72256	62114	70942	50046	52045	84609	44883	95508	49304	82452	72998	59684	94302	72398	63254	43837	55144	50433	43663	59818	78858	78361	54363	35883	74774	77450	41424	90522	61684	40509	44028	37874	58448	52784	65926	56726	69295	33622	29540	88493	68998	70421	55577	38711	86208	46302	69313	78015	45632	66386.5	67868	34267	80444.5	64649	45890	80546.5	37015	51124	19571	89873	49267.5	26585.5	89829	55893	57527	35414	37780	47407	94506	74094	41990	54714.5	48361.5	56990	68933.5	48938	64844	84920	65756	87013	66532	70858	75531	66306	83867	64511	59840.5	58364	67749	46100	55937	35621	40365	38599	61286	82428	80624	89684	66299	53702	77228	80519.5	71560	68775.5	106258	86805	54673	93203.5	98661.5	42986.5	71542	63651	79203	50404	93566	62620.5	46603	101724	69820.5	80004.5	54952.5	59086	70288	60103	41904	67778.5	36461	70995	112626	65330	71517	104570	13452	59641.5	95394	93568	63004	50414	64634	65219.5	47261	58791	54077	63273	42680.5	73600	51441	55025	61583	51188	36157	60129	51574	39697	40179.5	47271	83470	40084.5	70631	70364	89853	64403	73538	36811.5	39720	38806	102681	56175	42556	55233	45789	79731	64823	72928	11450	82592	68445	44286	39182	65726	65417	38121.5	47840	50366.5	33986	67103	63365	54466	72952	51703	64369	60041	53434	80010	61197	59180	59082	65210	39904	104334	73605	44482	62431	66214	82276	40713	49549	78853	74291	84748	37266	81840	90573	83876	68988	75008	56808	97940	63581	73612	67236	79122	44609	61797	71169	93940	63869	38257	66417	72180	48982	49366	45054	55757	104581	80203	57103	71250	75661	79002	55027	50564	80089	56363	38940	90762	82291	62924	49992	33760	123369	60957	46931	70807	54470	48656	43421	63862	90239	59243	56231	67146	76254	75854	56625	48586	78471	40123	63335	69873	62407	45930	45835	84552	102250	85010	74224	44049	70294	54998	33692	27702	47258	65466	45389	70934	36823	60717	69789	49463	65693	61979	73501	44680	20595	31352	60135	71408	56498	57254	53055	67355	78175	33714	34402	80166	52733	56544	103202	90847	69987	72147	68005	87838	35939	54154	56320	52541	49439	73819	61536	81246	54352	53766	64700	34593	96032	49504	29324	27996	57671	91195	50314	59416
74754	37909	71162	73933	35200	61016	111318	122356	69007	61373	107526	75421	83072	78292	70944	86698	74817	76998	60207	63231	97823	56795	111630	57743	94545	85572	69710	106131	86629	74206	50286	67013	57203	54810	67989	100657	93523	70938	44705	83028	92586	46857	107330	67780	43041	52790	41407	69984	61959	77220	64573	80990	42839	36402	106485	75963	88409.5	63948	44191	100788	53301	80420	87104	53655	75024	70806	45598	90465	74657	57964	96317.5	42131	61983	27296	101104	57567	32057	97936	66364	69218	40018	42084.5	58145	110646	85662	51413	63080.5	57727.5	68126	78745.5	55735	78295	100736	81782	94698	82434	76109	82188	73682	96322	76282	71312	65607.5	76794	54998	62367.5	42318	45300	42689	77084	88399	95050.5	101843	79226	58973	88981	93438.5	82615	79288.5	124213	100575	60294.5	109870	117366	49889	82236.5	78405	100388	61334	109516	78284	55594	113299	82951	89299.5	61723.5	70825	81198	70049	45560	82337.5	42330	82848	128032	79334	88617	116654	15798	69956	112854	101586	72798	61800	63740	80285	56735	66576	66210	78360	54972.5	88937	63040	67219	71364	53787	42063	71667	64637	50603	50362	54151	101537	49196.5	90150	82482	104253	75124	95476	46519	47567	43853	111974	70057	45569	64797	58014	94399	74672	87494	13900	95344	78125.5	49092	46726	76365	80661	40352	61021	56547.5	39407	85471	73880	63245	80355	59698	78452	78618	58279	89110	71866	68939	68373	78568	49789	116689	87131	55228	79743	68746	87821	51361	55003	83931	91820	95889	47945	86523	107797	99265	84512	82803	65515	109544	76269	92490	83255	91021	61951	75862	92839	101079	78120	40665	84222	94476	63188	54853	51403	62147	123286	86749	68658	77058	82665	95586	68911	60594	96290	68222	47064	97049	95677	59501	60138	40323	144198	72686	56899	79814	59020	52475	50134	79482	111023	67737	68556	78322	89671	89251	67420	61072	80532	45738	67459	78978	71448	56300	55106	97036	120562	99944	82701	53633	81212	66117	39645	30847	58091	81436	53840	86378	47653	74932	80821	56560	79663	72136	86069	59081	21493	37667	69438	84322	64246	66222	65921	79229	95226	38296	39637	93985	61509	68740	112008	99968	78056	83031	72175	109563	34768	63339	63712	62253	61391	86097	79194	97974	69083	60998	76465	49128	108184	53941	38725	30743	75031	100452	58903	67329
