"trt","day","id","h2","CI.l","CI.u","Va","Ve"
"Control","D1","Control_D1",0.52228046198042,0.436146731774346,0.608414192186495,1540711.77396711,1409258.37832411
"Control","D2","Control_D2",0.506554406277604,0.41909188823172,0.594016924323489,2042416.75101876,1989562.29349767
"Control","D3","Control_D3",0.535765230099959,0.452311874404469,0.619218585795448,2918468.87641714,2528821.67633604
"Control","D4","Control_D4",0.48383192473753,0.395463335715844,0.572200513759216,3156294.02810311,3367240.00660397
"Control","D5","Control_D5",0.468033922811308,0.378605249807766,0.557462595814849,4706098.95380013,5348939.20568268
"Control","D6","Control_D6",0.484385091046096,0.399536732056297,0.569233450035895,7125170.77142114,7584552.75874234
"Control","D7","Control_D7",0.405283156016476,0.31171736582052,0.498848946212431,7635585.34749528,11204539.7209763
"Control","D8","Control_D8",0.308835111744588,0.212880095191719,0.404790128297457,8722056.53284952,19519733.9927783
"Control","D9","Control_D9",0.281835473451112,0.192579508026021,0.371091438876202,8165552.87360537,20807211.8873991
"Control","D10","Control_D10",0.220964894505297,0.134553328357968,0.307376460652627,9165083.74274585,32312472.0620571
"Control","D11","Control_D11",0.143015630399442,0.0633786987442758,0.222652562054608,7996120.44393211,47914694.4900649
"Control","D12","Control_D12",0.0634882000291377,0.0081324317794224,0.118843968278853,4722803.8335432,69665883.0622214
"Control","D13","Control_D13",0.0556172557489799,0.00489195421448506,0.106342557283475,5717973.58713135,97091370.5656719
"Control","D14","Control_D14",0.0294106477546966,-0.00355412923625704,0.0623754247456502,4409902.62897923,145532481.019304
"Control","D15","Control_D15",0.0256374122639844,-0.00571393318445139,0.0569887577124203,5529164.86359314,210138657.093638
"Control","D16","Control_D16",0.0175972592497881,-0.00462543712099918,0.0398199556205755,4412283.06532051,246324664.245019
"Control","D17","Control_D17",0.015713019963361,-0.00570898539117262,0.0371350253178945,6484137.32801682,406176022.408068
"Control","D18","Control_D18",0.0223714836658666,-0.00442542317406248,0.0491683905057958,12185722.1655527,532513160.910542
"Control","D19","Control_D19",0.0186639938840564,-0.00566784107602505,0.0429958288441378,9824940.74418154,516586544.665404
"Control","D20","Control_D20",0.0186818882108825,-0.00427065040632851,0.0416344268280935,12073824.4155622,634211191.278357
