"Exp","Snapshot.ID.Tag","Genotype.ID","Watering.Regime","Replicate","Key","DayOfImaging","Projected.Shoot.Area"
"E1","053941-W","UNL001","Control",2,"E1_UNL001_2",0,10759
"E1","053942-D","UNL001","Low water",2,"E1_UNL001_2",0,14873
"E1","053941-W","UNL001","Control",2,"E1_UNL001_2",1,15563
"E1","053942-D","UNL001","Low water",2,"E1_UNL001_2",1,19961
"E1","053941-W","UNL001","Control",2,"E1_UNL001_2",2,18950
"E1","053942-D","UNL001","Low water",2,"E1_UNL001_2",2,24605
"E1","053941-W","UNL001","Control",2,"E1_UNL001_2",3,26152
"E1","053942-D","UNL001","Low water",2,"E1_UNL001_2",3,34182
"E1","053941-W","UNL001","Control",2,"E1_UNL001_2",4,29726
"E1","053942-D","UNL001","Low water",2,"E1_UNL001_2",4,39645
"E1","053941-W","UNL001","Control",2,"E1_UNL001_2",5,40516
"E1","053942-D","UNL001","Low water",2,"E1_UNL001_2",5,47242
"E1","053941-W","UNL001","Control",2,"E1_UNL001_2",6,51657
"E1","053942-D","UNL001","Low water",2,"E1_UNL001_2",6,59121
"E1","053941-W","UNL001","Control",2,"E1_UNL001_2",7,61720
"E1","053942-D","UNL001","Low water",2,"E1_UNL001_2",7,74526
"E1","053941-W","UNL001","Control",2,"E1_UNL001_2",8,77598
"E1","053942-D","UNL001","Low water",2,"E1_UNL001_2",8,83956
"E1","053941-W","UNL001","Control",2,"E1_UNL001_2",9,93043
"E1","053942-D","UNL001","Low water",2,"E1_UNL001_2",9,91417
"E1","053941-W","UNL001","Control",2,"E1_UNL001_2",10,110099
"E1","053942-D","UNL001","Low water",2,"E1_UNL001_2",10,104852
"E1","053941-W","UNL001","Control",2,"E1_UNL001_2",11,130142
"E1","053942-D","UNL001","Low water",2,"E1_UNL001_2",11,110574
"E1","053941-W","UNL001","Control",2,"E1_UNL001_2",12,154070
"E1","053942-D","UNL001","Low water",2,"E1_UNL001_2",12,117248
"E1","053941-W","UNL001","Control",2,"E1_UNL001_2",13,189029
"E1","053942-D","UNL001","Low water",2,"E1_UNL001_2",13,126053
"E1","053941-W","UNL001","Control",2,"E1_UNL001_2",14,212751
"E1","053942-D","UNL001","Low water",2,"E1_UNL001_2",14,130068
"E1","053941-W","UNL001","Control",2,"E1_UNL001_2",15,255330
"E1","053942-D","UNL001","Low water",2,"E1_UNL001_2",15,139360
"E1","053941-W","UNL001","Control",2,"E1_UNL001_2",16,296417
"E1","053942-D","UNL001","Low water",2,"E1_UNL001_2",16,145982
"E1","053941-W","UNL001","Control",2,"E1_UNL001_2",17,337590
"E1","053942-D","UNL001","Low water",2,"E1_UNL001_2",17,149615
"E1","053941-W","UNL001","Control",2,"E1_UNL001_2",18,395812
"E1","053942-D","UNL001","Low water",2,"E1_UNL001_2",18,167998
"E1","053941-W","UNL001","Control",2,"E1_UNL001_2",19,430587
"E1","053942-D","UNL001","Low water",2,"E1_UNL001_2",19,171528
"E1","053941-W","UNL001","Control",2,"E1_UNL001_2",20,483030
"E1","053942-D","UNL001","Low water",2,"E1_UNL001_2",20,204550
"E1","053878-D","UNL002","Low water",1,"E1_UNL002_1",0,13945
"E1","053879-W","UNL002","Control",1,"E1_UNL002_1",0,13600
"E1","053878-D","UNL002","Low water",1,"E1_UNL002_1",1,17025
"E1","053879-W","UNL002","Control",1,"E1_UNL002_1",1,21959
"E1","053878-D","UNL002","Low water",1,"E1_UNL002_1",2,23940
"E1","053879-W","UNL002","Control",1,"E1_UNL002_1",2,28396
"E1","053878-D","UNL002","Low water",1,"E1_UNL002_1",3,27909
"E1","053879-W","UNL002","Control",1,"E1_UNL002_1",3,34438
"E1","053878-D","UNL002","Low water",1,"E1_UNL002_1",4,33153
"E1","053879-W","UNL002","Control",1,"E1_UNL002_1",4,42853
"E1","053878-D","UNL002","Low water",1,"E1_UNL002_1",5,44781
"E1","053879-W","UNL002","Control",1,"E1_UNL002_1",5,47967
"E1","053878-D","UNL002","Low water",1,"E1_UNL002_1",6,55355
"E1","053879-W","UNL002","Control",1,"E1_UNL002_1",6,63317
"E1","053878-D","UNL002","Low water",1,"E1_UNL002_1",7,61233
"E1","053879-W","UNL002","Control",1,"E1_UNL002_1",7,81725
"E1","053878-D","UNL002","Low water",1,"E1_UNL002_1",8,75219
"E1","053879-W","UNL002","Control",1,"E1_UNL002_1",8,101263
"E1","053878-D","UNL002","Low water",1,"E1_UNL002_1",9,83034
"E1","053879-W","UNL002","Control",1,"E1_UNL002_1",9,115377
"E1","053878-D","UNL002","Low water",1,"E1_UNL002_1",10,92613
"E1","053879-W","UNL002","Control",1,"E1_UNL002_1",10,133461
"E1","053878-D","UNL002","Low water",1,"E1_UNL002_1",11,100905
"E1","053879-W","UNL002","Control",1,"E1_UNL002_1",11,162504
"E1","053878-D","UNL002","Low water",1,"E1_UNL002_1",12,109847
"E1","053879-W","UNL002","Control",1,"E1_UNL002_1",12,212034
"E1","053878-D","UNL002","Low water",1,"E1_UNL002_1",13,119193
"E1","053879-W","UNL002","Control",1,"E1_UNL002_1",13,255834
"E1","053878-D","UNL002","Low water",1,"E1_UNL002_1",14,128969
"E1","053879-W","UNL002","Control",1,"E1_UNL002_1",14,284224
"E1","053878-D","UNL002","Low water",1,"E1_UNL002_1",15,135855
"E1","053879-W","UNL002","Control",1,"E1_UNL002_1",15,338728
"E1","053878-D","UNL002","Low water",1,"E1_UNL002_1",16,134973
"E1","053879-W","UNL002","Control",1,"E1_UNL002_1",16,370303
"E1","053878-D","UNL002","Low water",1,"E1_UNL002_1",17,134497
"E1","053879-W","UNL002","Control",1,"E1_UNL002_1",17,438141
"E1","053878-D","UNL002","Low water",1,"E1_UNL002_1",18,136740
"E1","053879-W","UNL002","Control",1,"E1_UNL002_1",18,508490
"E1","053878-D","UNL002","Low water",1,"E1_UNL002_1",19,140037
"E1","053879-W","UNL002","Control",1,"E1_UNL002_1",19,559521
"E1","053878-D","UNL002","Low water",1,"E1_UNL002_1",20,160084
"E1","053879-W","UNL002","Control",1,"E1_UNL002_1",20,691364
"E1","053709-D","UNL003","Low water",1,"E1_UNL003_1",0,13324
"E1","053710-W","UNL003","Control",1,"E1_UNL003_1",0,13593
"E1","054015-W","UNL003","Control",2,"E1_UNL003_2",0,20459
"E1","054016-D","UNL003","Low water",2,"E1_UNL003_2",0,17049
"E1","053709-D","UNL003","Low water",1,"E1_UNL003_1",1,17827
"E1","053710-W","UNL003","Control",1,"E1_UNL003_1",1,18135
"E1","054015-W","UNL003","Control",2,"E1_UNL003_2",1,26691
"E1","054016-D","UNL003","Low water",2,"E1_UNL003_2",1,21402
"E1","053709-D","UNL003","Low water",1,"E1_UNL003_1",2,21327
"E1","053710-W","UNL003","Control",1,"E1_UNL003_1",2,23029
"E1","054015-W","UNL003","Control",2,"E1_UNL003_2",2,34675
"E1","054016-D","UNL003","Low water",2,"E1_UNL003_2",2,27226
"E1","053709-D","UNL003","Low water",1,"E1_UNL003_1",3,26482
