"Exp","DayOfImaging","Watering.Regime","Mean","NSFTV.ID"
"E1",9,"Control",94628,"NSFTV_651"
"E1",9,"Low water",65921,"NSFTV_651"
"E1",10,"Control",114789,"NSFTV_651"
"E1",10,"Low water",78527,"NSFTV_651"
"E1",11,"Control",139737,"NSFTV_651"
"E1",2,"Control",15829,"NSFTV_651"
"E1",2,"Low water",14978,"NSFTV_651"
"E1",3,"Control",21434,"NSFTV_651"
"E1",3,"Low water",18558,"NSFTV_651"
"E1",4,"Control",28140,"NSFTV_651"
"E1",4,"Low water",25692,"NSFTV_651"
"E1",5,"Control",35676,"NSFTV_651"
"E1",5,"Low water",30443,"NSFTV_651"
"E1",6,"Control",47425,"NSFTV_651"
"E1",0,"Control",10679,"NSFTV_651"
"E1",0,"Low water",8828,"NSFTV_651"
"E1",1,"Control",13742,"NSFTV_651"
"E1",1,"Low water",11996,"NSFTV_651"
"E1",8,"Low water",53055,"NSFTV_651"
"E3",0,"Control",8640,"NSFTV_651"
"E3",0,"Low water",10395,"NSFTV_651"
"E3",1,"Control",12433,"NSFTV_651"
"E3",1,"Low water",13012,"NSFTV_651"
"E3",2,"Control",16724,"NSFTV_651"
"E3",2,"Low water",18612,"NSFTV_651"
"E3",3,"Control",19222,"NSFTV_651"
"E3",3,"Low water",20937,"NSFTV_651"
"E1",6,"Low water",35205,"NSFTV_651"
"E1",7,"Control",56404,"NSFTV_651"
"E1",7,"Low water",40421,"NSFTV_651"
"E1",8,"Control",73594,"NSFTV_651"
"E3",6,"Control",33325,"NSFTV_651"
"E3",6,"Low water",34209,"NSFTV_651"
"E3",7,"Control",38727,"NSFTV_651"
"E3",7,"Low water",40624,"NSFTV_651"
"E3",8,"Control",58633,"NSFTV_651"
"E3",8,"Low water",47495,"NSFTV_651"
"E3",9,"Control",68258,"NSFTV_651"
"E3",9,"Low water",54166,"NSFTV_651"
"E3",10,"Control",83915,"NSFTV_651"
"E3",10,"Low water",66544,"NSFTV_651"
"E3",11,"Control",105188,"NSFTV_651"
"E3",11,"Low water",73818,"NSFTV_651"
"E3",12,"Control",128124,"NSFTV_651"
"E3",12,"Low water",80261,"NSFTV_651"
"E3",13,"Control",148037,"NSFTV_651"
"E3",13,"Low water",87333,"NSFTV_651"
"E3",14,"Control",178713,"NSFTV_651"
"E3",14,"Low water",91111,"NSFTV_651"
"E3",15,"Control",212281,"NSFTV_651"
"E3",15,"Low water",93863,"NSFTV_651"
"E3",16,"Control",250001,"NSFTV_651"
"E3",16,"Low water",95499,"NSFTV_651"
"E3",17,"Control",286703,"NSFTV_651"
"E3",17,"Low water",98557,"NSFTV_651"
"E3",18,"Control",331004,"NSFTV_651"
"E3",18,"Low water",75112,"NSFTV_651"
"E3",19,"Control",393892,"NSFTV_651"
"E3",19,"Low water",85072,"NSFTV_651"
"E3",20,"Control",462840,"NSFTV_651"
"E3",20,"Low water",85095,"NSFTV_651"
"E3",21,"Control",524311,"NSFTV_651"
"E3",21,"Low water",103330,"NSFTV_651"
"E3",22,"Control",588133,"NSFTV_651"
"E3",22,"Low water",85671,"NSFTV_651"
"E2",17,"Control",169462,"NSFTV_651"
"E2",17,"Low water",106927,"NSFTV_651"
"E3",4,"Control",21526,"NSFTV_651"
"E3",4,"Low water",22265,"NSFTV_651"
"E3",5,"Control",25580,"NSFTV_651"
"E3",5,"Low water",27623,"NSFTV_651"
"E1",13,"Low water",118113,"NSFTV_651"
"E1",14,"Control",222407,"NSFTV_651"
"E1",14,"Low water",130907,"NSFTV_651"
"E1",15,"Control",263172,"NSFTV_651"
"E1",15,"Low water",145203,"NSFTV_651"
"E1",16,"Control",292969,"NSFTV_651"
"E1",16,"Low water",153823,"NSFTV_651"
"E1",17,"Control",328396,"NSFTV_651"
"E1",17,"Low water",163777,"NSFTV_651"
"E1",18,"Control",371901,"NSFTV_651"
"E1",18,"Low water",170734,"NSFTV_651"
"E1",19,"Control",406983,"NSFTV_651"
"E1",19,"Low water",175562,"NSFTV_651"
"E1",20,"Control",466906,"NSFTV_651"
"E1",20,"Low water",177317,"NSFTV_651"
"E2",7,"Low water",37362,"NSFTV_651"
"E2",8,"Control",46487,"NSFTV_651"
"E2",8,"Low water",45570,"NSFTV_651"
"E2",9,"Control",53671,"NSFTV_651"
"E2",9,"Low water",55382,"NSFTV_651"
"E2",10,"Control",63812,"NSFTV_651"
"E2",10,"Low water",61725,"NSFTV_651"
"E2",11,"Control",70683,"NSFTV_651"
"E2",11,"Low water",66591,"NSFTV_651"
"E2",12,"Control",82319,"NSFTV_651"
"E2",12,"Low water",70691,"NSFTV_651"
"E2",13,"Control",98595,"NSFTV_651"
"E2",13,"Low water",79142,"NSFTV_651"
"E2",14,"Control",115115,"NSFTV_651"
"E2",14,"Low water",88959,"NSFTV_651"
"E2",15,"Control",126159,"NSFTV_651"
"E2",15,"Low water",97208,"NSFTV_651"
"E2",16,"Control",145967,"NSFTV_651"
"E2",16,"Low water",102003,"NSFTV_651"
"E2",3,"Low water",20330,"NSFTV_651"
"E2",4,"Control",22379,"NSFTV_651"
"E1",11,"Low water",90442,"NSFTV_651"
"E1",12,"Control",162718,"NSFTV_651"
"E1",12,"Low water",103471,"NSFTV_651"
"E1",13,"Control",193228,"NSFTV_651"
"E2",0,"Control",11330,"NSFTV_651"
"E2",0,"Low water",13545,"NSFTV_651"
"E2",1,"Control",14532,"NSFTV_651"
"E2",1,"Low water",17276,"NSFTV_651"
"E2",2,"Control",17529,"NSFTV_651"
"E2",2,"Low water",18668,"NSFTV_651"
"E2",3,"Control",19757,"NSFTV_651"
"E2",23,"Control",334689,"NSFTV_651"
"E2",23,"Low water",134766,"NSFTV_651"
"E2",4,"Low water",22285,"NSFTV_651"
"E2",5,"Control",29831,"NSFTV_651"
"E2",5,"Low water",28239,"NSFTV_651"
"E2",6,"Control",32876,"NSFTV_651"
"E2",6,"Low water",32591,"NSFTV_651"
"E2",7,"Control",38939,"NSFTV_651"
"E2",20,"Low water",120796,"NSFTV_651"
"E2",21,"Control",277941,"NSFTV_651"
"E2",21,"Low water",126894,"NSFTV_651"
"E2",22,"Control",315098,"NSFTV_651"
"E2",22,"Low water",130348,"NSFTV_651"
"E2",18,"Low water",109815,"NSFTV_651"
"E2",19,"Control",226805,"NSFTV_651"
