NSFTV.ID,Exp,DayOfImaging,Rep,WUE.rat,WU.rat,PSA.rat
NSFTV_1,E1,1,1,1.05054858,1.075,1.129339723
NSFTV_1,E1,2,1,1.149034101,0.9375,1.07721947
NSFTV_1,E1,3,1,1.303007651,0.846153846,1.102544936
NSFTV_1,E1,4,1,1.388450237,0.709677419,0.985351781
NSFTV_1,E1,5,1,1.16337049,0.75,0.872527868
NSFTV_1,E1,6,1,1.30652983,0.674418605,0.881148025
NSFTV_1,E1,7,1,1.246998472,0.666666667,0.831332315
NSFTV_1,E1,8,1,1.364476212,0.581818182,0.793877069
NSFTV_1,E1,9,1,1.497790377,0.479166667,0.717691222
NSFTV_1,E1,10,1,1.516101431,0.465116279,0.705163456
NSFTV_1,E1,11,1,1.714366506,0.425531915,0.729517662
NSFTV_1,E1,12,1,1.951540848,0.368421053,0.718988734
NSFTV_1,E1,13,1,2.140277257,0.28358209,0.606944297
NSFTV_1,E1,14,1,2.099769717,0.257575758,0.540849776
NSFTV_1,E1,15,1,2.528974988,0.2,0.505794998
NSFTV_1,E1,16,1,2.395820914,0.192982456,0.462351405
NSFTV_1,E1,17,1,2.623223854,0.155844156,0.408814107
NSFTV_1,E1,18,1,2.544589979,0.148648649,0.378249862
NSFTV_1,E1,19,1,2.342209919,0.153846154,0.360339988
NSFTV_1,E1,20,1,2.055745402,0.189655172,0.389882749
NSFTV_1,E1,1,2,NA,NA,NA
NSFTV_1,E1,2,2,NA,NA,NA
NSFTV_1,E1,3,2,NA,NA,NA
NSFTV_1,E1,4,2,NA,NA,NA
NSFTV_1,E1,5,2,NA,NA,NA
NSFTV_1,E1,6,2,NA,NA,NA
NSFTV_1,E1,7,2,NA,NA,NA
NSFTV_1,E1,8,2,NA,NA,NA
NSFTV_1,E1,9,2,NA,NA,NA
NSFTV_1,E1,10,2,NA,NA,NA
NSFTV_1,E1,11,2,NA,NA,NA
NSFTV_1,E1,12,2,NA,NA,NA
NSFTV_1,E1,13,2,NA,NA,NA
NSFTV_1,E1,14,2,NA,NA,NA
NSFTV_1,E1,15,2,NA,NA,NA
NSFTV_1,E1,16,2,NA,NA,NA
NSFTV_1,E1,17,2,NA,NA,NA
NSFTV_1,E1,18,2,NA,NA,NA
NSFTV_1,E1,19,2,NA,NA,NA
NSFTV_1,E1,20,2,NA,NA,NA
NSFTV_1,E2,1,1,1.315625323,0.958333333,1.260807601
NSFTV_1,E2,2,1,1.161263158,0.892857143,1.036842105
NSFTV_1,E2,3,1,1.239873132,0.869565217,1.07815055
NSFTV_1,E2,4,1,1.213666662,0.826086957,1.002594199
NSFTV_1,E2,5,1,1.396378661,0.7,0.977465063
NSFTV_1,E2,6,1,1.240603529,0.7,0.86842247
NSFTV_1,E2,7,1,1.080054084,0.7,0.756037859
NSFTV_1,E2,8,1,1.257345636,0.615384615,0.773751161
NSFTV_1,E2,9,1,1.233798518,0.576923077,0.711806837
NSFTV_1,E2,10,1,1.229641885,0.540540541,0.664671289
NSFTV_1,E2,11,1,1.385543976,0.53125,0.736070237
NSFTV_1,E2,12,1,1.524779027,0.464285714,0.70793312
NSFTV_1,E2,13,1,1.501030561,0.428571429,0.643298812
NSFTV_1,E2,14,1,1.554395337,0.386363636,0.600561835
NSFTV_1,E2,15,1,1.711027532,0.352941176,0.60389207
NSFTV_1,E2,16,1,1.991022541,0.283018868,0.563496945
NSFTV_1,E2,17,1,1.842493616,0.245901639,0.453072201
NSFTV_1,E2,18,1,2.037174371,0.202702703,0.412940751
NSFTV_1,E2,19,1,2.389695795,0.157894737,0.377320389
NSFTV_1,E2,20,1,2.130499505,0.153846154,0.327769155
NSFTV_1,E2,1,2,NA,NA,NA
NSFTV_1,E2,2,2,NA,NA,NA
NSFTV_1,E2,3,2,NA,NA,NA
NSFTV_1,E2,4,2,NA,NA,NA
NSFTV_1,E2,5,2,NA,NA,NA
NSFTV_1,E2,6,2,NA,NA,NA
NSFTV_1,E2,7,2,NA,NA,NA
NSFTV_1,E2,8,2,NA,NA,NA
NSFTV_1,E2,9,2,NA,NA,NA
NSFTV_1,E2,10,2,NA,NA,NA
NSFTV_1,E2,11,2,NA,NA,NA
NSFTV_1,E2,12,2,NA,NA,NA
NSFTV_1,E2,13,2,NA,NA,NA
NSFTV_1,E2,14,2,NA,NA,NA
NSFTV_1,E2,15,2,NA,NA,NA
NSFTV_1,E2,16,2,NA,NA,NA
NSFTV_1,E2,17,2,NA,NA,NA
NSFTV_1,E2,18,2,NA,NA,NA
NSFTV_1,E2,19,2,NA,NA,NA
NSFTV_1,E2,20,2,NA,NA,NA
NSFTV_1,E3,1,1,1.08834348,0.923076923,1.004624751
NSFTV_1,E3,2,1,1.210840182,0.793103448,0.960321524
NSFTV_1,E3,3,1,1.335876561,0.666666667,0.890584374
NSFTV_1,E3,4,1,1.300523722,0.642857143,0.836050964
NSFTV_1,E3,5,1,1.448939797,0.571428571,0.827965598
NSFTV_1,E3,6,1,1.44176461,0.585365854,0.843959772
NSFTV_1,E3,7,1,1.431552148,0.564102564,0.807542237
NSFTV_1,E3,8,1,1.792548568,0.568181818,1.018493504
