NSFTV_ID,Na:K Shoot LSMEAN,Na Shoot LSMEAN,K Shoot Salt LSMEAN,Na:K Root LSMEAN,Na Root LSMEAN,K Root Salt LSMEAN,Shoot BM Control LSMEAN,Shoot BM Salt LSMEAN,Shoot BM Ratio,Root BM Control LSMEAN,Root BM Salt LSMEAN,Root BM Ratio,Tiller_No_Salt_Comb,Tiller_No_Control_Comb,Tiller_No_Ratio_Comb,Ht_Lig_Salt_Comb,Ht_Lig_Control_Comb,Ht_Lig_Ratio_Comb,Ht_FE_Salt_Comb,Ht_FE_Control_Comb,Ht_FE_Ratio_Comb
Agami,161.412511,0.130847414,0.831328311,345.7739997,0.256556434,0.746612975,1.331149317,0.925433825,0.695214138,0.445581267,0.226476821,0.508272761,2.308513461,2.450734956,0.941967819,16.5867903,19.58697897,0.846827391,47.03859119,57.60197846,0.816614159
FL478,119.1292851,0.098927967,0.831847568,578.1313571,0.381564159,0.661694662,2.187863099,1.710749359,0.781927059,0.634975377,0.377054006,0.593808862,3.028364099,2.976742562,1.01734162,15.93562757,17.53268384,0.908909766,51.91590361,59.92690013,0.866320526
IR29,242.867085,0.198651758,0.769866293,489.9888056,0.36285017,0.746426917,1.772127991,1.246798894,0.703560296,0.499505194,0.230080804,0.46061744,3.222863746,2.710423653,1.189062729,16.04948894,19.63228648,0.817504826,42.46356499,55.67434007,0.762713396
IR63731,118.0241231,0.114266901,0.853958975,521.4459192,0.40397621,0.778422533,2.453245184,2.000610744,0.815495637,0.77153195,0.541863884,0.702322029,4.082944416,3.608393023,1.131513222,17.67323577,20.54941699,0.860035873,51.37559539,62.63989269,0.820173745
Kitake,170.0630836,0.139800507,0.840346127,432.4669336,0.315453559,0.738626094,1.96118622,NA,NA,0.511804726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nona Bokra,79.28714469,0.067716101,0.88006665,358.8917914,0.278768267,0.777270685,2.251342247,1.752283415,0.778328314,0.501150812,0.303914994,0.606434204,2.22183323,1.963518306,1.131557176,24.62306304,27.78836986,0.886092389,71.61994719,82.32900632,0.86992362
NSFTV_1,217.9371447,0.194966101,0.89606665,500.9474211,0.293376918,0.604581235,2.302995531,1.756398034,0.76265803,0.872838082,0.325207826,0.37258666,1.999271558,1.580343035,1.265087081,24.21280308,27.82176051,0.870282924,63.74549747,81.1674223,0.78535816
NSFTV_10,137.4868364,0.125044726,0.910901121,427.0096533,0.297045884,0.706646111,1.867723117,1.114535401,0.596734811,0.531911785,0.223791525,0.420730526,1.761132794,1.99146095,0.884342118,16.72487014,22.59805918,0.740102059,46.08641295,61.90335918,0.744489694
NSFTV_100,165.0295554,0.166773265,1.020647976,454.0930731,0.312705972,0.672823364,2.099448816,1.474579135,0.702364889,0.556368332,0.303297666,0.545138264,1.670284387,1.801038228,0.927400852,24.31973671,27.40016546,0.887576272,62.38474417,76.84157022,0.811861913
NSFTV_101,146.2631636,0.157455274,1.101098879,466.6072066,0.306818637,0.666206795,1.79931508,1.239412468,0.688824587,0.529368332,0.315296541,0.595608998,1.578350711,1.624016576,0.971880912,19.53998312,24.01195872,0.813760483,49.98292686,63.98002586,0.78122705
