"Exp","NSFTV.ID","Rep","Water.Regime","DayOfImaging","WU","Projected.Shoot.Area","WUE"
"E1","NSFTV_1","1","Control",1,40,18780,469.5
"E1","NSFTV_1","1","Control",10,43,121837,2833.41860465116
"E1","NSFTV_1","1","Control",11,47,130759,2782.10638297872
"E1","NSFTV_1","1","Control",12,57,140062,2457.22807017544
"E1","NSFTV_1","1","Control",13,67,169434,2528.86567164179
"E1","NSFTV_1","1","Control",14,66,191580,2902.72727272727
"E1","NSFTV_1","1","Control",15,70,210095,3001.35714285714
"E1","NSFTV_1","1","Control",16,57,226622,3975.82456140351
"E1","NSFTV_1","1","Control",17,77,248783,3230.94805194805
"E1","NSFTV_1","1","Control",18,74,282012,3810.97297297297
"E1","NSFTV_1","1","Control",19,78,320600,4110.25641025641
"E1","NSFTV_1","1","Control",2,32,25434,794.8125
"E1","NSFTV_1","1","Control",20,58,341318,5884.79310344828
"E1","NSFTV_1","1","Control",3,39,29431,754.641025641026
"E1","NSFTV_1","1","Control",4,31,35704,1151.74193548387
"E1","NSFTV_1","1","Control",5,40,50058,1251.45
"E1","NSFTV_1","1","Control",6,43,59267,1378.3023255814
"E1","NSFTV_1","1","Control",7,42,68715,1636.07142857143
"E1","NSFTV_1","1","Control",8,55,84600,1538.18181818182
"E1","NSFTV_1","1","Control",9,48,104159,2169.97916666667
"E1","NSFTV_1","1","Low water",1,43,21209,493.232558139535
"E1","NSFTV_1","1","Low water",10,20,85915,4295.75
"E1","NSFTV_1","1","Low water",11,20,95391,4769.55
"E1","NSFTV_1","1","Low water",12,21,100703,4795.38095238095
"E1","NSFTV_1","1","Low water",13,19,102837,5412.47368421053
"E1","NSFTV_1","1","Low water",14,17,103616,6095.05882352941
"E1","NSFTV_1","1","Low water",15,14,106265,7590.35714285714
"E1","NSFTV_1","1","Low water",16,11,104779,9525.36363636364
"E1","NSFTV_1","1","Low water",17,12,101706,8475.5
"E1","NSFTV_1","1","Low water",18,11,106671,9697.36363636364
"E1","NSFTV_1","1","Low water",19,12,115525,9627.08333333333
"E1","NSFTV_1","1","Low water",2,30,27398,913.266666666667
"E1","NSFTV_1","1","Low water",20,11,133074,12097.6363636364
"E1","NSFTV_1","1","Low water",3,33,32449,983.30303030303
"E1","NSFTV_1","1","Low water",4,22,35181,1599.13636363636
